trade_date,ts_code,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2018-08-30,000001.SZ,10.12,0.5794,1.3073,0.61,7.4934,7.2381,0.8347,1.6426,1.5948,1.5613,1.3439,1717041.1366,1717024.6773,761029.0923,17376456.3024,17376289.7343
2018-08-31,000001.SZ,10.13,0.7635,1.7225,0.78,7.5008,7.2452,0.8355,1.6442,1.5964,1.5597,1.3425,1717041.1366,1717024.6773,761029.0923,17393626.7138,17393459.981
2018-09-03,000001.SZ,10.19,0.4145,0.9352,0.53,7.5452,7.2881,0.8404,1.654,1.6059,1.5505,1.3346,1717041.1366,1717024.6773,761029.0923,17496649.182,17496481.4617
2018-09-04,000001.SZ,10.43,0.755,1.7034,1.24,7.7229,7.4598,0.8602,1.6929,1.6437,1.5149,1.3039,1717041.1366,1717024.6773,761029.0923,17908739.0547,17908567.3842
2018-09-05,000001.SZ,10.05,0.6869,1.5498,1.13,7.4416,7.188,0.8289,1.6312,1.5838,1.5721,1.3532,1717041.1366,1717024.6773,761029.0923,17256263.4228,17256098.0069
2018-09-06,000001.SZ,9.97,0.4145,0.9353,0.65,7.3823,7.1308,0.8223,1.6183,1.5712,1.5848,1.3641,1717041.1366,1717024.6773,761029.0923,17118900.1319,17118736.0327
2018-09-07,000001.SZ,10.01,0.4712,1.0631,0.78,7.412,7.1594,0.8256,1.6248,1.5775,1.5784,1.3586,1717041.1366,1717024.6773,761029.0923,17187581.7774,17187417.0198
2018-09-10,000001.SZ,9.88,0.371,0.837,0.68,7.3157,7.0664,0.8149,1.6036,1.557,1.5992,1.3765,1717041.1366,1717024.6773,761029.0923,16964366.4296,16964203.8117
2018-09-11,000001.SZ,9.91,0.4152,0.9368,0.77,7.3379,7.0879,0.8173,1.6085,1.5617,1.5943,1.3724,1717041.1366,1717024.6773,761029.0923,17015877.6637,17015714.552
2018-09-12,000001.SZ,9.88,0.329,0.7422,0.7,7.3157,7.0664,0.8149,1.6036,1.557,1.5992,1.3765,1717041.1366,1717024.6773,761029.0923,16964366.4296,16964203.8117
2018-09-13,000001.SZ,9.96,0.5822,1.3136,1.45,7.3749,7.1236,0.8215,1.6166,1.5696,1.5863,1.3655,1717041.1366,1717024.6773,761029.0923,17101729.7205,17101565.7859
2018-09-14,000001.SZ,9.84,0.3609,0.8144,0.83,7.2861,7.0378,0.8116,1.5972,1.5507,1.6057,1.3821,1717041.1366,1717024.6773,761029.0923,16895684.7841,16895522.8246
2018-09-17,000001.SZ,9.69,0.3012,0.6795,0.73,7.175,6.9305,0.7992,1.5728,1.5271,1.6305,1.4035,1717041.1366,1717024.6773,761029.0923,16638128.6137,16637969.123
2018-09-18,000001.SZ,10.08,0.6563,1.4806,1.65,7.4638,7.2095,0.8314,1.6361,1.5885,1.5675,1.3492,1717041.1366,1717024.6773,761029.0923,17307774.6569,17307608.7472
2018-09-19,000001.SZ,10.24,0.7173,1.6183,1.61,7.5823,7.3239,0.8445,1.6621,1.6138,1.543,1.3281,1717041.1366,1717024.6773,761029.0923,17582501.2388,17582332.6956
2018-09-20,000001.SZ,10.23,0.3613,0.8151,0.69,7.5749,7.3168,0.8437,1.6605,1.6122,1.5445,1.3294,1717041.1366,1717024.6773,761029.0923,17565330.8274,17565162.4488
2018-09-21,000001.SZ,10.67,0.9461,2.1346,1.97,7.9007,7.6315,0.88,1.7319,1.6815,1.4808,1.2746,1717041.1366,1717024.6773,761029.0923,18320828.9275,18320653.3068
2018-09-25,000001.SZ,10.55,0.569,1.2838,0.95,7.8118,7.5456,0.8701,1.7124,1.6626,1.4976,1.2891,1717041.1366,1717024.6773,761029.0923,18114783.9911,18114610.3455
